"","region_number","region_name"
"1","440","New York City"
"2","041","Syracuse"
"3","601","Albany"
"5","U.S. Civil Serv. NYC","New York City"
"7","001","Albany"
"40","003","Glens Falls"
"53","005","Schenectady"
"67","007","Troy"
"104","010","Hudson"
"118","012","Kingston"
"128","013","Poughkeepsie"
"145","014","Middletown"
"151","017","Newburgh"
"171","020","Utica"
"212","021","Ogdenburg"
"221","022","Massena"
"227","026","Plattsburg"
"239","030","Rome"
"250","031","Oneida"
"258","032","Herkimer"
"263","033","Little Falls"
"270","034","Gloversville"
"283","035","Amsterdam"
"350","042","Watertown"
"360","043","Oswego"
"368","044","Fulton"
"376","045","Auburn"
"391","046","Cortland"
"399","047","Ithaca"
"404","051","Rochester"
"514","053","Newark"
"519","054","Batavia"
"530","056","Geneva"
"551","060","Dansville"
"569","071","Buffalo"
"688","073","Niagara Falls"
